,Unnamed: 0,anime_id,title,type,source,episodes,airing,rating,score,rank,watched_by,members,favorites,producer,licensor,studio,genre,duration_min,aired_start,aired_end
0,0,11013,Inu x Boku SS,TV,Manga,12,False,PG-13 - Teens 13 or older,7.63,1274.0,231,283882,2809,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen",24,2012-01-13,2012-03-30
1,1,2104,Seto no Hanayome,TV,Manga,26,False,PG-13 - Teens 13 or older,7.89,727.0,366,204003,2579,"TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen",24,2007-04-02,2007-10-01
2,2,721,Princess Tutu,TV,Original,38,False,PG-13 - Teens 13 or older,8.21,307.0,916,93312,3344,"Memory-Tech, GANSIS, Marvelous AQL",ADV Films,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",16,2002-08-16,2003-05-23
3,3,12365,Bakuman. 3rd Season,TV,Manga,25,False,PG-13 - Teens 13 or older,8.67,50.0,426,182765,2082,"NHK, Shueisha",,J.C.Staff,"Comedy, Drama, Romance, Shounen",24,2012-10-06,2013-03-30
4,4,2787,Shakugan no Shana II (Second),TV,Light novel,24,False,PG-13 - Teens 13 or older,7.72,1066.0,332,220591,1075,"Geneon Universal Entertainment, ASCII Media Works",Funimation,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",24,2007-10-05,2008-03-28
5,5,4477,Nodame Cantabile: Paris-hen,TV,Manga,11,False,PG-13 - Teens 13 or older,8.24,281.0,988,85660,282,"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",23,2008-10-10,2008-12-19
6,6,853,Ouran Koukou Host Club,TV,Manga,26,False,PG-13 - Teens 13 or older,8.34,205.0,69,538843,24072,"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo",23,2006-04-05,2006-09-27
7,7,4814,Junjou Romantica 2,TV,Manga,12,False,PG-13 - Teens 13 or older,8.15,374.0,799,108186,1123,"Frontier Works, Kadokawa Shoten, Memory-Tech, Romantica club !!",Nozomi Entertainment,Studio Deen,"Comedy, Drama, Romance, Shounen Ai",24,2008-10-12,2008-12-28
8,8,7054,Kaichou wa Maid-sama!,TV,Manga,26,False,PG-13 - Teens 13 or older,8.2,314.0,71,531292,14436,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,"Comedy, Romance, School, Shoujo",24,2010-04-02,2010-09-24
9,9,11123,Sekaiichi Hatsukoi 2,TV,Manga,12,False,PG-13 - Teens 13 or older,8.23,288.0,945,89543,726,"Lantis, Kadokawa Shoten, AT-X, KlockWorx",Funimation,Studio Deen,"Comedy, Drama, Romance, Shounen Ai",24,2011-10-08,2011-12-24
