,Unnamed: 0,StateAbbr,StateDesc,City
1,56,AL,Alabama,Birmingham
2,2850,AL,Alabama,Hoover
3,3712,AL,Alabama,Huntsville
4,5548,AL,Alabama,Mobile
5,7778,AL,Alabama,Montgomery
6,9541,AL,Alabama,Tuscaloosa
7,10649,AK,Alaska,Anchorage
8,12245,AZ,Arizona,Avondale
9,12944,AZ,Arizona,Chandler
10,14752,AZ,Arizona,Gilbert
11,16091,AZ,Arizona,Glendale
12,17897,AZ,Arizona,Mesa
13,21425,AZ,Arizona,Peoria
14,22838,AZ,Arizona,Phoenix
15,32935,AZ,Arizona,Scottsdale
16,34734,AZ,Arizona,Surprise
17,35696,AZ,Arizona,Tempe
18,36843,AZ,Arizona,Tucson
19,40662,AZ,Arizona,Yuma
20,41923,AR,Arkansas,Fayetteville
21,42450,AR,Arkansas,Fort Smith
22,43094,AR,Arkansas,Jonesboro
23,43531,AR,Arkansas,Little Rock
24,45074,AR,Arkansas,Springdale
25,45602,CA,California,Alameda
26,46106,CA,California,Alhambra
27,46722,CA,California,Anaheim
28,48955,CA,California,Antioch
29,49571,CA,California,Apple Valley
30,49991,CA,California,Bakersfield
31,52271,CA,California,Baldwin Park
32,52873,CA,California,Bellflower
33,53433,CA,California,Berkeley
34,54413,CA,California,Buena Park
35,54806,CA,California,Burbank
36,55673,CA,California,Carlsbad
37,56311,CA,California,Carson
38,56926,CA,California,Chico
39,57649,CA,California,Chino
40,58209,CA,California,Chino Hills
41,58601,CA,California,Chula Vista
42,59958,CA,California,Citrus Heights
43,60432,CA,California,Clovis
44,61399,CA,California,Compton
45,62265,CA,California,Concord
46,63159,CA,California,Corona
47,64195,CA,California,Costa Mesa
48,64973,CA,California,Daly City
49,65589,CA,California,Downey
50,66258,CA,California,El Cajon
51,67098,CA,California,Elk Grove
52,67938,CA,California,El Monte
53,68862,CA,California,Escondido
54,69245,CA,California,Fairfield
55,70702,CA,California,Folsom
56,71233,CA,California,Fontana
57,72269,CA,California,Fremont
58,73529,CA,California,Fresno
59,77107,CA,California,Fullerton
60,78086,CA,California,Garden Grove
61,79357,CA,California,Glendale
62,80601,CA,California,Hawthorne
63,81323,CA,California,Hayward
64,82442,CA,California,Hemet
65,83167,CA,California,Hesperia
66,83511,CA,California,Lancaster
67,83618,CA,California,Norwalk
68,83639,CA,California,Orange
69,83699,CA,California,Huntington Beach
70,84684,CA,California,Indio
71,85712,CA,California,Inglewood
72,86654,CA,California,Irvine
73,87744,CA,California,Lake Forest
74,88248,CA,California,Lakewood
75,89840,CA,California,Livermore
76,90430,CA,California,Long Beach
77,93485,CA,California,Los Angeles
78,120706,CA,California,Lynwood
79,121040,CA,California,Manteca
80,121436,CA,California,Menifee
81,123305,CA,California,Merced
82,123920,CA,California,Milpitas
83,124444,CA,California,Mission Viejo
84,125142,CA,California,Modesto
85,126536,CA,California,Moreno Valley
86,127802,CA,California,Mountain View
87,127845,CA,California,Murrieta
88,129020,CA,California,Napa
89,129743,CA,California,Newport Beach
90,131058,CA,California,Oakland
91,134274,CA,California,Oceanside
92,135267,CA,California,Ontario
93,137432,CA,California,Oxnard
94,138580,CA,California,Palmdale
95,139722,CA,California,Pasadena
96,140814,CA,California,Perris
97,141177,CA,California,Pleasanton
98,141625,CA,California,Pomona
99,142600,CA,California,Rancho Cucamonga
100,142866,CA,California,Redding
101,144361,CA,California,Redlands
102,144770,CA,California,Redondo Beach
103,144899,CA,California,Redwood City
104,145954,CA,California,Rialto
105,146822,CA,California,Richmond
106,147690,CA,California,Riverside
107,149761,CA,California,Roseville
108,150703,CA,California,Sacramento
109,153969,CA,California,Salinas
110,155035,CA,California,San Bernardino
111,155618,CA,California,San Diego
112,156656,CA,California,San Buenaventura (Ventura)
113,165746,CA,California,San Francisco
114,171095,CA,California,San Jose
115,177406,CA,California,San Leandro
116,178057,CA,California,San Marcos
117,178617,CA,California,San Mateo
118,179401,CA,California,San Ramon
119,179487,CA,California,Santa Ana
120,181608,CA,California,Santa Barbara
121,182397,CA,California,Santa Clara
122,183149,CA,California,Santa Clarita
123,184556,CA,California,Santa Maria
124,185153,CA,California,Santa Monica
125,185741,CA,California,Santa Rosa
126,186769,CA,California,Simi Valley
127,187639,CA,California,South Gate
128,188255,CA,California,Stockton
129,190315,CA,California,Sunnyvale
130,191233,CA,California,Temecula
131,191905,CA,California,Thousand Oaks
132,192793,CA,California,Torrance
133,193689,CA,California,Tracy
134,194165,CA,California,Turlock
135,194641,CA,California,Tustin
136,195304,CA,California,Union City
137,195729,CA,California,Upland
138,196340,CA,California,Vacaville
139,196982,CA,California,Vallejo
140,197962,CA,California,Victorville
141,198576,CA,California,Visalia
142,199244,CA,California,Vista
143,200056,CA,California,West Covina
144,201008,CA,California,Westminster
145,201680,CA,California,Whittier
146,202380,CO,Colorado,Arvada
147,203388,CO,Colorado,Aurora
